CustomerKey,First_Name,Last Name,Full Name,Gender,DateFristPurchase,Customer City
11000,Jon,Yang,JonYang,Male,2019-01-19,Rockhampton
11001,Eugene,Huang,EugeneHuang,Male,2019-01-15,Seaford
11002,Ruben,Torres,RubenTorres,Male,2019-01-07,Hobart
11003,Christy,Zhu,ChristyZhu,Female,2018-12-29,North Ryde
11004,Elizabeth,Johnson,ElizabethJohnson,Female,2019-01-23,Wollongong
11005,Julio,Ruiz,JulioRuiz,Male,2018-12-30,East Brisbane
11006,Janet,Alvarez,JanetAlvarez,Female,2019-01-24,Matraville
11007,Marco,Mehta,MarcoMehta,Male,2019-01-09,Warrnambool
11008,Rob,Verhoff,RobVerhoff,Female,2019-01-25,Bendigo
11009,Shannon,Carlson,ShannonCarlson,Male,2019-01-27,Hervey Bay
11010,Jacquelyn,Suarez,JacquelynSuarez,Female,2019-01-14,East Brisbane
11011,Curtis,Lu,CurtisLu,Male,2018-12-30,East Brisbane
11012,Lauren,Walker,LaurenWalker,Female,2021-03-16,Bremerton
11013,Ian,Jenkins,IanJenkins,Male,2021-04-13,Lebanon
11014,Sydney,Bennett,SydneyBennett,Female,2021-03-23,Redmond
11015,Chloe,Young,ChloeYoung,Female,2021-01-18,Burbank
11016,Wyatt,Hill,WyattHill,Male,2021-02-09,Imperial Beach
11017,Shannon,Wang,ShannonWang,Female,2019-01-12,Sunbury
11018,Clarence,Rai,ClarenceRai,Male,2019-01-17,Bendigo
11019,Luke,Lal,LukeLal,Male,2021-02-12,Langley
11020,Jordan,King,JordanKing,Male,2020-12-29,Metchosin
11021,Destiny,Wilson,DestinyWilson,Female,2021-01-23,Beaverton
11022,Ethan,Zhang,EthanZhang,Male,2021-01-20,Bellingham
11023,Seth,Edwards,SethEdwards,Male,2021-02-17,Bellflower
11024,Russell,Xie,RussellXie,Male,2021-06-27,Concord
11025,Alejandro,Beck,AlejandroBeck,Male,2019-01-06,Hawthorne
11026,Harold,Sai,HaroldSai,Male,2019-01-23,Goulburn
11027,Jessie,Zhao,JessieZhao,Male,2019-01-16,Warrnambool
11028,Jill,Jimenez,JillJimenez,Female,2019-01-26,St. Leonards
11029,Jimmy,Moreno,JimmyMoreno,Male,2019-01-19,Bendigo
11030,Bethany,Yuan,BethanyYuan,Female,2019-02-05,Cloverdale
11031,Theresa,Ramos,TheresaRamos,Female,2019-02-01,Matraville
11032,Denise,Stone,DeniseStone,Female,2019-02-18,Melbourne
11033,Jaime,Nath,JaimeNath,Male,2019-02-15,Milsons Point
11034,Ebony,Gonzalez,EbonyGonzalez,Female,2019-02-01,North Sydney
11035,Wendy,Dominguez,WendyDominguez,Female,2019-02-06,Cranbourne
11036,Jennifer,Russell,JenniferRussell,Female,2021-01-22,National City
11037,Chloe,Garcia,ChloeGarcia,Female,2021-01-20,Cliffside
11038,Diana,Hernandez,DianaHernandez,Female,2019-02-07,Lavender Bay
11039,Marc,Martin,MarcMartin,Male,2019-02-07,Wollongong
11040,Jesse,Murphy,JesseMurphy,Male,2021-04-03,Tacoma
11041,Amanda,Carter,AmandaCarter,Female,2021-01-14,Glendale
11042,Megan,Sanchez,MeganSanchez,Female,2021-01-21,Los Angeles
11043,Nathan,Simmons,NathanSimmons,Male,2021-05-08,Glendale
11044,Adam,Flores,AdamFlores,Male,2019-02-28,Hervey Bay
11045,Leonard,Nara,LeonardNara,Male,2021-04-10,Matraville
11046,Christine,Yuan,ChristineYuan,Female,2019-02-06,Lavender Bay
11047,Jaclyn,Lu,JaclynLu,Female,2019-02-03,Geelong
11048,Jeremy,Powell,JeremyPowell,Male,2019-02-10,Sunbury
11049,Carol,Rai,CarolRai,Female,2021-03-09,Chula Vista
11050,Alan,Zheng,AlanZheng,Male,2019-02-20,Hobart
11051,Daniel,Johnson,DanielJohnson,Male,2021-12-29,Caloundra
11052,Heidi,Lopez,HeidiLopez,Female,2019-02-17,Matraville
11053,Ana,Price,AnaPrice,Female,2021-01-17,San Diego
11054,Deanna,Munoz,DeannaMunoz,Female,2019-02-03,Geelong
